genome_id,drug,phenotype,mic
GEN-0217,Ceftriaxone,R,64.0
GEN-0217,Ciprofloxacin,R,32.0
GEN-0217,Meropenem,S,0.03
GEN-0218,Ceftriaxone,S,0.06
GEN-0218,Ciprofloxacin,S,0.25
GEN-0218,Gentamicin,R,64.0
GEN-0219,Ciprofloxacin,S,0.12
GEN-0219,Gentamicin,R,32.0
GEN-0219,Meropenem,S,0.25
GEN-0220,Ceftriaxone,R,64.0
GEN-0220,Gentamicin,S,0.03
GEN-0220,Meropenem,S,0.03
GEN-0221,Ceftriaxone,R,16.0
GEN-0221,Ciprofloxacin,S,0.03
GEN-0221,Gentamicin,S,0.12
GEN-0221,Meropenem,S,0.12
GEN-0222,Ceftriaxone,R,32.0
GEN-0222,Ciprofloxacin,R,8.0
GEN-0222,Gentamicin,R,8.0
GEN-0222,Meropenem,S,0.25
GEN-0223,Ceftriaxone,R,16.0
GEN-0223,Ciprofloxacin,S,0.06
GEN-0223,Gentamicin,R,8.0
GEN-0223,Meropenem,S,0.06
GEN-0224,Ceftriaxone,R,8.0
GEN-0224,Ciprofloxacin,S,0.06
GEN-0224,Gentamicin,R,32.0
GEN-0224,Meropenem,S,0.25
GEN-0225,Ceftriaxone,R,16.0
GEN-0225,Ciprofloxacin,R,16.0
GEN-0225,Gentamicin,R,8.0
GEN-0225,Meropenem,S,0.12
GEN-0226,Ceftriaxone,R,8.0
GEN-0226,Gentamicin,S,0.03
GEN-0226,Meropenem,S,0.06
GEN-0227,Ceftriaxone,R,8.0
GEN-0227,Ciprofloxacin,S,0.06
GEN-0227,Gentamicin,S,0.25
GEN-0227,Meropenem,S,0.12
GEN-0228,Ciprofloxacin,S,0.06
GEN-0228,Gentamicin,R,32.0
GEN-0228,Meropenem,S,0.25
GEN-0229,Ceftriaxone,S,0.25
GEN-0229,Ciprofloxacin,S,0.03
GEN-0229,Gentamicin,R,32.0
GEN-0229,Meropenem,S,0.25
GEN-0230,Ceftriaxone,S,0.03
GEN-0230,Ciprofloxacin,S,0.03
GEN-0230,Gentamicin,R,32.0
GEN-0231,Ciprofloxacin,S,0.03
GEN-0231,Gentamicin,S,0.25
GEN-0231,Meropenem,R,32.0
GEN-0232,Ceftriaxone,R,32.0
GEN-0232,Ciprofloxacin,S,0.12
GEN-0232,Gentamicin,R,16.0
GEN-0232,Meropenem,S,0.03
GEN-0233,Ceftriaxone,R,16.0
GEN-0233,Ciprofloxacin,S,0.25
GEN-0233,Gentamicin,R,64.0
GEN-0233,Meropenem,S,0.12
GEN-0234,Ceftriaxone,R,32.0
GEN-0234,Gentamicin,R,8.0
GEN-0234,Meropenem,S,0.03
GEN-0235,Ceftriaxone,R,8.0
GEN-0235,Ciprofloxacin,S,0.03
GEN-0235,Gentamicin,R,64.0
GEN-0235,Meropenem,S,0.06
GEN-0236,Ceftriaxone,R,16.0
GEN-0236,Ciprofloxacin,S,0.25
GEN-0236,Gentamicin,R,64.0
GEN-0237,Ceftriaxone,R,16.0
GEN-0237,Ciprofloxacin,S,0.25
GEN-0237,Gentamicin,R,16.0
GEN-0237,Meropenem,S,0.06
GEN-0238,Ceftriaxone,R,32.0
GEN-0238,Ciprofloxacin,S,0.12
GEN-0238,Gentamicin,R,16.0
GEN-0238,Meropenem,S,0.12
GEN-0239,Ceftriaxone,R,8.0
GEN-0239,Ciprofloxacin,S,0.06
GEN-0239,Gentamicin,R,8.0
GEN-0239,Meropenem,S,0.06
GEN-0240,Ceftriaxone,R,8.0
GEN-0240,Ciprofloxacin,S,0.06
GEN-0240,Gentamicin,R,32.0
GEN-0240,Meropenem,S,0.03
GEN-0241,Ceftriaxone,S,0.03
GEN-0241,Ciprofloxacin,S,0.12
GEN-0241,Gentamicin,R,64.0
GEN-0241,Meropenem,S,0.25
GEN-0242,Ciprofloxacin,R,16.0
GEN-0242,Gentamicin,R,64.0
GEN-0242,Meropenem,S,0.06
GEN-0243,Ceftriaxone,R,8.0
GEN-0243,Ciprofloxacin,S,0.06
GEN-0243,Meropenem,S,0.06
GEN-0244,Ceftriaxone,R,8.0
GEN-0244,Gentamicin,R,32.0
GEN-0244,Meropenem,S,0.06
GEN-0245,Ciprofloxacin,S,0.12
GEN-0245,Gentamicin,R,16.0
GEN-0245,Meropenem,S,0.03
GEN-0246,Ciprofloxacin,S,0.06
GEN-0246,Gentamicin,S,0.06
GEN-0247,Ceftriaxone,S,0.06
GEN-0247,Gentamicin,S,0.25
GEN-0247,Meropenem,S,0.25
GEN-0248,Ceftriaxone,S,0.06
GEN-0248,Ciprofloxacin,S,0.03
GEN-0248,Gentamicin,S,0.12
GEN-0249,Ceftriaxone,S,0.06
GEN-0249,Meropenem,S,0.25
GEN-0250,Ceftriaxone,S,0.03
GEN-0250,Ciprofloxacin,S,0.12
GEN-0250,Gentamicin,S,0.03
GEN-0250,Meropenem,R,8.0
GEN-0251,Ceftriaxone,S,0.06
GEN-0251,Ciprofloxacin,R,16.0
GEN-0251,Meropenem,S,0.06
GEN-0252,Ceftriaxone,S,0.03
GEN-0252,Ciprofloxacin,R,32.0
GEN-0252,Gentamicin,S,0.06
GEN-0252,Meropenem,S,0.06
GEN-0253,Ciprofloxacin,R,8.0
GEN-0253,Meropenem,R,16.0
GEN-0254,Gentamicin,S,0.06
GEN-0254,Meropenem,S,0.06
GEN-0255,Ceftriaxone,S,0.25
GEN-0255,Ciprofloxacin,R,64.0
GEN-0255,Gentamicin,S,0.25
GEN-0255,Meropenem,S,0.06
GEN-0256,Ceftriaxone,S,0.06
GEN-0256,Ciprofloxacin,R,64.0
GEN-0256,Gentamicin,S,0.12
GEN-0256,Meropenem,S,0.06
GEN-0257,Gentamicin,S,0.12
GEN-0257,Meropenem,R,16.0
GEN-0258,Ceftriaxone,S,0.12
GEN-0258,Ciprofloxacin,R,32.0
GEN-0258,Gentamicin,S,0.06
GEN-0258,Meropenem,S,0.25
GEN-0259,Ceftriaxone,S,0.03
GEN-0259,Gentamicin,S,0.06
GEN-0259,Meropenem,S,0.06
GEN-0260,Ceftriaxone,S,0.12
GEN-0260,Ciprofloxacin,R,16.0
GEN-0260,Gentamicin,S,0.25
GEN-0260,Meropenem,S,0.06
GEN-0261,Ceftriaxone,S,0.06
GEN-0261,Ciprofloxacin,R,16.0
GEN-0261,Gentamicin,S,0.06
GEN-0261,Meropenem,S,0.25
GEN-0262,Ceftriaxone,R,32.0
GEN-0262,Gentamicin,R,32.0
GEN-0262,Meropenem,S,0.25
GEN-0263,Ceftriaxone,R,32.0
GEN-0263,Ciprofloxacin,R,64.0
GEN-0263,Meropenem,R,16.0
GEN-0264,Ceftriaxone,S,0.12
GEN-0264,Ciprofloxacin,R,32.0
GEN-0264,Gentamicin,S,0.12
GEN-0264,Meropenem,S,0.06
GEN-0265,Ceftriaxone,R,32.0
GEN-0265,Ciprofloxacin,R,8.0
GEN-0265,Meropenem,S,0.12
GEN-0266,Ceftriaxone,R,64.0
GEN-0266,Ciprofloxacin,R,32.0
GEN-0266,Gentamicin,R,8.0
GEN-0266,Meropenem,S,0.03
GEN-0267,Ceftriaxone,R,8.0
GEN-0267,Ciprofloxacin,R,64.0
GEN-0267,Gentamicin,R,32.0
GEN-0267,Meropenem,S,0.25
GEN-0268,Ceftriaxone,R,8.0
GEN-0268,Ciprofloxacin,R,8.0
GEN-0268,Gentamicin,R,64.0
GEN-0268,Meropenem,S,0.03
GEN-0269,Ceftriaxone,R,16.0
GEN-0269,Ciprofloxacin,R,16.0
GEN-0269,Meropenem,S,0.06
GEN-0270,Ceftriaxone,R,64.0
GEN-0270,Ciprofloxacin,R,32.0
GEN-0270,Meropenem,S,0.12
GEN-0271,Ceftriaxone,S,0.03
GEN-0271,Ciprofloxacin,R,32.0
GEN-0271,Gentamicin,R,8.0
GEN-0271,Meropenem,S,0.25
GEN-0272,Ceftriaxone,S,0.06
GEN-0272,Ciprofloxacin,R,16.0
GEN-0272,Gentamicin,R,32.0
GEN-0272,Meropenem,S,0.06
GEN-0273,Ceftriaxone,S,0.06
GEN-0273,Ciprofloxacin,R,32.0
GEN-0273,Meropenem,S,0.25
GEN-0274,Ceftriaxone,S,0.12
GEN-0274,Ciprofloxacin,R,64.0
GEN-0274,Gentamicin,R,32.0
GEN-0274,Meropenem,S,0.03
GEN-0275,Ceftriaxone,S,0.06
GEN-0275,Ciprofloxacin,R,16.0
GEN-0275,Gentamicin,R,16.0
GEN-0275,Meropenem,S,0.06
GEN-0276,Ciprofloxacin,R,8.0
GEN-0276,Gentamicin,R,8.0
GEN-0276,Meropenem,S,0.12
GEN-0277,Ciprofloxacin,R,8.0
GEN-0277,Gentamicin,R,32.0
GEN-0278,Ciprofloxacin,R,16.0
GEN-0278,Gentamicin,R,32.0
GEN-0279,Ciprofloxacin,R,64.0
GEN-0279,Gentamicin,R,16.0
GEN-0280,Ciprofloxacin,R,32.0
GEN-0280,Gentamicin,R,8.0
GEN-0281,Ciprofloxacin,R,64.0
GEN-0281,Gentamicin,R,8.0
GEN-0282,Ciprofloxacin,R,64.0
GEN-0282,Gentamicin,R,64.0
GEN-0283,Ceftriaxone,R,16.0
GEN-0283,Ciprofloxacin,S,0.03
GEN-0283,Gentamicin,S,0.03
GEN-0283,Meropenem,R,64.0
GEN-0284,Ceftriaxone,R,16.0
GEN-0284,Ciprofloxacin,R,16.0
GEN-0284,Gentamicin,S,0.12
GEN-0284,Meropenem,R,32.0
GEN-0285,Ciprofloxacin,S,0.06
GEN-0285,Gentamicin,S,0.06
GEN-0285,Meropenem,S,0.12
GEN-0286,Ciprofloxacin,S,0.03
GEN-0286,Gentamicin,S,0.03
GEN-0287,Ciprofloxacin,S,0.06
GEN-0287,Gentamicin,S,0.12
GEN-0287,Meropenem,R,32.0
GEN-0288,Ceftriaxone,R,8.0
GEN-0288,Ciprofloxacin,S,0.03
GEN-0288,Gentamicin,S,0.12
GEN-0289,Ciprofloxacin,S,0.03
GEN-0289,Gentamicin,S,0.03
GEN-0290,Ceftriaxone,R,16.0
GEN-0290,Ciprofloxacin,S,0.25
GEN-0290,Gentamicin,S,0.03
GEN-0290,Meropenem,S,0.06
GEN-0291,Ceftriaxone,R,8.0
GEN-0291,Ciprofloxacin,R,8.0
GEN-0292,Ceftriaxone,R,8.0
GEN-0292,Gentamicin,S,0.25
GEN-0293,Ceftriaxone,R,32.0
GEN-0293,Gentamicin,S,0.06
GEN-0293,Meropenem,S,0.03
GEN-0294,Ceftriaxone,R,64.0
GEN-0294,Ciprofloxacin,S,0.25
GEN-0294,Gentamicin,S,0.03
GEN-0294,Meropenem,S,0.12
GEN-0295,Ceftriaxone,S,0.25
GEN-0295,Ciprofloxacin,S,0.12
GEN-0295,Gentamicin,S,0.06
GEN-0295,Meropenem,S,0.03
GEN-0296,Ceftriaxone,S,0.12
GEN-0296,Ciprofloxacin,R,16.0
GEN-0296,Gentamicin,S,0.03
GEN-0297,Ceftriaxone,S,0.06
GEN-0297,Ciprofloxacin,R,16.0
GEN-0298,Ceftriaxone,S,0.03
GEN-0298,Ciprofloxacin,R,16.0
GEN-0298,Gentamicin,S,0.06
GEN-0298,Meropenem,S,0.25
GEN-0299,Ceftriaxone,S,0.03
GEN-0299,Ciprofloxacin,R,32.0
GEN-0299,Gentamicin,S,0.03
GEN-0299,Meropenem,S,0.03
GEN-0300,Ceftriaxone,S,0.12
GEN-0300,Ciprofloxacin,S,0.06
GEN-0300,Meropenem,S,0.12
GEN-0301,Ceftriaxone,R,32.0
GEN-0301,Ciprofloxacin,R,16.0
GEN-0301,Gentamicin,S,0.03
GEN-0301,Meropenem,S,0.12
GEN-0302,Ceftriaxone,S,0.03
GEN-0302,Ciprofloxacin,R,8.0
GEN-0302,Meropenem,S,0.12
GEN-0303,Ceftriaxone,S,0.03
GEN-0303,Ciprofloxacin,R,32.0
GEN-0303,Meropenem,S,0.25
GEN-0304,Ceftriaxone,R,64.0
GEN-0304,Ciprofloxacin,R,8.0
GEN-0304,Gentamicin,R,64.0
GEN-0304,Meropenem,R,16.0
GEN-0305,Meropenem,S,0.25
GEN-0306,Ciprofloxacin,R,16.0
GEN-0306,Gentamicin,R,64.0
GEN-0306,Meropenem,S,0.06
GEN-0307,Ciprofloxacin,S,0.12
GEN-0307,Gentamicin,R,16.0
GEN-0308,Ceftriaxone,R,16.0
GEN-0308,Gentamicin,R,64.0
GEN-0309,Ceftriaxone,R,64.0
GEN-0309,Ciprofloxacin,R,64.0
GEN-0309,Gentamicin,R,32.0
GEN-0309,Meropenem,S,0.12
GEN-0310,Ceftriaxone,R,64.0
GEN-0310,Gentamicin,R,32.0
GEN-0310,Meropenem,R,64.0
GEN-0311,Ceftriaxone,R,8.0
GEN-0311,Ciprofloxacin,R,64.0
GEN-0311,Gentamicin,R,16.0
GEN-0311,Meropenem,S,0.12
GEN-0312,Ceftriaxone,R,16.0
GEN-0312,Ciprofloxacin,R,8.0
GEN-0312,Gentamicin,R,16.0
GEN-0313,Ceftriaxone,R,8.0
GEN-0313,Ciprofloxacin,S,0.03
GEN-0313,Gentamicin,R,16.0
GEN-0313,Meropenem,R,32.0
GEN-0314,Ceftriaxone,R,32.0
GEN-0314,Ciprofloxacin,R,64.0
GEN-0314,Gentamicin,R,64.0
GEN-0314,Meropenem,S,0.03
GEN-0315,Ceftriaxone,R,32.0
GEN-0315,Ciprofloxacin,R,8.0
GEN-0315,Gentamicin,S,0.06
GEN-0315,Meropenem,S,0.25
GEN-0316,Ceftriaxone,R,32.0
GEN-0316,Gentamicin,R,8.0
GEN-0316,Meropenem,S,0.25
GEN-0317,Ceftriaxone,R,32.0
GEN-0317,Ciprofloxacin,S,0.03
GEN-0317,Meropenem,S,0.06
GEN-0318,Ceftriaxone,R,8.0
GEN-0318,Ciprofloxacin,R,16.0
GEN-0318,Gentamicin,R,32.0
GEN-0319,Ceftriaxone,R,16.0
GEN-0319,Ciprofloxacin,R,32.0
GEN-0319,Meropenem,S,0.03
GEN-0320,Ceftriaxone,R,16.0
GEN-0320,Ciprofloxacin,R,16.0
GEN-0320,Gentamicin,R,16.0
GEN-0320,Meropenem,S,0.06
GEN-0321,Ciprofloxacin,R,64.0
GEN-0322,Ceftriaxone,R,32.0
GEN-0322,Gentamicin,R,32.0
GEN-0323,Ceftriaxone,R,16.0
GEN-0323,Ciprofloxacin,R,32.0
GEN-0323,Gentamicin,S,0.12
GEN-0323,Meropenem,S,0.06
GEN-0324,Ceftriaxone,R,64.0
GEN-0324,Ciprofloxacin,R,32.0
GEN-0324,Meropenem,S,0.06
GEN-0325,Ceftriaxone,R,8.0
GEN-0325,Ciprofloxacin,R,16.0
GEN-0325,Gentamicin,R,8.0
GEN-0326,Ceftriaxone,R,32.0
GEN-0326,Ciprofloxacin,R,32.0
GEN-0326,Gentamicin,R,16.0
GEN-0327,Ceftriaxone,S,0.25
GEN-0327,Ciprofloxacin,S,0.12
GEN-0327,Gentamicin,S,0.12
GEN-0327,Meropenem,S,0.25
GEN-0328,Ceftriaxone,S,0.03
GEN-0328,Ciprofloxacin,S,0.03
GEN-0328,Gentamicin,S,0.25
GEN-0328,Meropenem,S,0.06
GEN-0329,Ceftriaxone,R,32.0
GEN-0329,Ciprofloxacin,S,0.03
GEN-0329,Gentamicin,R,8.0
GEN-0329,Meropenem,S,0.25
GEN-0330,Ceftriaxone,S,0.06
GEN-0330,Ciprofloxacin,R,64.0
GEN-0330,Gentamicin,S,0.03
GEN-0330,Meropenem,R,16.0
GEN-0331,Ciprofloxacin,S,0.06
GEN-0331,Gentamicin,S,0.12
GEN-0332,Ceftriaxone,S,0.06
GEN-0332,Ciprofloxacin,S,0.03
GEN-0332,Gentamicin,S,0.06
GEN-0332,Meropenem,S,0.06
GEN-0333,Ceftriaxone,S,0.03
GEN-0333,Ciprofloxacin,S,0.06
GEN-0333,Gentamicin,S,0.12
GEN-0333,Meropenem,S,0.25
GEN-0334,Ceftriaxone,R,8.0
GEN-0334,Ciprofloxacin,S,0.12
GEN-0334,Gentamicin,R,8.0
GEN-0334,Meropenem,R,8.0
GEN-0335,Ceftriaxone,R,16.0
GEN-0335,Ciprofloxacin,S,0.25
GEN-0335,Gentamicin,R,32.0
GEN-0336,Ceftriaxone,R,16.0
GEN-0336,Ciprofloxacin,S,0.12
GEN-0336,Gentamicin,R,64.0
GEN-0336,Meropenem,R,32.0
GEN-0337,Ceftriaxone,R,8.0
GEN-0337,Ciprofloxacin,S,0.06
GEN-0337,Gentamicin,R,64.0
GEN-0337,Meropenem,S,0.25
GEN-0338,Ceftriaxone,S,0.03
GEN-0338,Ciprofloxacin,R,32.0
GEN-0338,Gentamicin,R,64.0
GEN-0338,Meropenem,R,64.0
GEN-0339,Ceftriaxone,R,16.0
GEN-0339,Ciprofloxacin,S,0.12
GEN-0339,Gentamicin,R,32.0
GEN-0340,Ciprofloxacin,R,64.0
GEN-0340,Gentamicin,R,32.0
GEN-0340,Meropenem,R,64.0
GEN-0341,Gentamicin,R,64.0
GEN-0342,Gentamicin,S,0.25
GEN-0343,Gentamicin,S,0.03
GEN-0345,Gentamicin,S,0.06
GEN-0347,Gentamicin,S,0.03
GEN-0348,Gentamicin,S,0.06
GEN-0349,Gentamicin,S,0.06
GEN-0350,Gentamicin,R,32.0
GEN-0351,Gentamicin,S,0.25
GEN-0352,Ceftriaxone,R,16.0
GEN-0352,Ciprofloxacin,R,8.0
GEN-0352,Meropenem,S,0.06
GEN-0353,Gentamicin,S,0.03
GEN-0353,Meropenem,S,0.25
GEN-0354,Ceftriaxone,R,16.0
GEN-0354,Ciprofloxacin,R,64.0
GEN-0354,Gentamicin,S,0.12
GEN-0354,Meropenem,S,0.03
GEN-0355,Ceftriaxone,R,8.0
GEN-0355,Ciprofloxacin,S,0.25
GEN-0355,Gentamicin,R,32.0
GEN-0355,Meropenem,S,0.06
GEN-0356,Ceftriaxone,R,16.0
GEN-0356,Ciprofloxacin,R,64.0
GEN-0356,Meropenem,S,0.03
GEN-0357,Ceftriaxone,R,64.0
GEN-0357,Ciprofloxacin,R,8.0
GEN-0357,Gentamicin,S,0.12
GEN-0357,Meropenem,S,0.06
GEN-0358,Ceftriaxone,R,64.0
GEN-0358,Ciprofloxacin,R,64.0
GEN-0358,Gentamicin,S,0.25
GEN-0358,Meropenem,S,0.25
GEN-0359,Ceftriaxone,S,0.25
GEN-0359,Ciprofloxacin,S,0.06
GEN-0359,Gentamicin,S,0.03
GEN-0359,Meropenem,S,0.25
GEN-0360,Ceftriaxone,S,0.12
GEN-0360,Ciprofloxacin,S,0.12
GEN-0360,Gentamicin,S,0.06
GEN-0360,Meropenem,S,0.06
GEN-0361,Ceftriaxone,S,0.25
GEN-0361,Ciprofloxacin,R,32.0
GEN-0361,Meropenem,S,0.12
GEN-0362,Ceftriaxone,S,0.25
GEN-0362,Gentamicin,S,0.06
GEN-0362,Meropenem,S,0.06
GEN-0363,Ceftriaxone,S,0.12
GEN-0363,Ciprofloxacin,S,0.12
GEN-0363,Meropenem,R,8.0
GEN-0364,Ceftriaxone,S,0.12
GEN-0364,Ciprofloxacin,R,32.0
GEN-0364,Gentamicin,R,16.0
GEN-0364,Meropenem,S,0.12
GEN-0365,Ceftriaxone,R,32.0
GEN-0365,Ciprofloxacin,S,0.03
GEN-0365,Gentamicin,R,8.0
GEN-0365,Meropenem,S,0.12
GEN-0366,Ceftriaxone,S,0.06
GEN-0366,Ciprofloxacin,S,0.03
GEN-0366,Gentamicin,R,64.0
GEN-0366,Meropenem,S,0.25
GEN-0367,Ceftriaxone,S,0.06
GEN-0367,Ciprofloxacin,S,0.06
GEN-0367,Meropenem,S,0.03
GEN-0368,Gentamicin,R,64.0
GEN-0368,Meropenem,S,0.06
GEN-0369,Ceftriaxone,S,0.25
GEN-0369,Ciprofloxacin,S,0.06
GEN-0369,Gentamicin,R,16.0
GEN-0370,Ceftriaxone,S,0.03
GEN-0370,Gentamicin,S,0.25
GEN-0370,Meropenem,S,0.06
GEN-0371,Ceftriaxone,S,0.03
GEN-0371,Gentamicin,S,0.06
GEN-0371,Meropenem,S,0.12
GEN-0372,Gentamicin,S,0.06
GEN-0373,Ceftriaxone,S,0.25
GEN-0373,Gentamicin,S,0.06
GEN-0373,Meropenem,S,0.03
GEN-0374,Ceftriaxone,S,0.25
GEN-0374,Meropenem,R,16.0
GEN-0375,Ceftriaxone,S,0.03
GEN-0375,Gentamicin,S,0.06
GEN-0375,Meropenem,S,0.03
GEN-0376,Ceftriaxone,S,0.12
GEN-0376,Gentamicin,S,0.12
GEN-0376,Meropenem,S,0.03
GEN-0377,Ceftriaxone,S,0.25
GEN-0377,Gentamicin,S,0.25
GEN-0377,Meropenem,S,0.06
GEN-0378,Ceftriaxone,S,0.25
GEN-0378,Gentamicin,S,0.03
GEN-0378,Meropenem,S,0.25
GEN-0379,Ceftriaxone,S,0.03
GEN-0379,Meropenem,S,0.03
GEN-0380,Ciprofloxacin,S,0.03
GEN-0380,Meropenem,S,0.25
GEN-0381,Ceftriaxone,R,32.0
GEN-0381,Ciprofloxacin,S,0.06
GEN-0381,Gentamicin,R,8.0
GEN-0381,Meropenem,S,0.06
GEN-0382,Ciprofloxacin,S,0.12
GEN-0382,Gentamicin,R,16.0
GEN-0382,Meropenem,S,0.25
GEN-0383,Ceftriaxone,R,32.0
GEN-0383,Ciprofloxacin,R,32.0
GEN-0383,Gentamicin,S,0.06
GEN-0383,Meropenem,S,0.25
GEN-0384,Ciprofloxacin,S,0.03
GEN-0384,Gentamicin,R,16.0
GEN-0384,Meropenem,S,0.12
GEN-0385,Ceftriaxone,R,8.0
GEN-0385,Ciprofloxacin,S,0.25
GEN-0385,Gentamicin,R,16.0
GEN-0385,Meropenem,R,32.0
GEN-0386,Ceftriaxone,R,16.0
GEN-0386,Ciprofloxacin,S,0.25
GEN-0386,Gentamicin,R,64.0
GEN-0386,Meropenem,S,0.06
GEN-0387,Ceftriaxone,R,64.0
GEN-0387,Ciprofloxacin,S,0.03
GEN-0387,Gentamicin,R,8.0
GEN-0387,Meropenem,S,0.03
GEN-0388,Ceftriaxone,R,16.0
GEN-0388,Ciprofloxacin,R,8.0
GEN-0388,Gentamicin,S,0.06
GEN-0388,Meropenem,S,0.06
GEN-0389,Ceftriaxone,R,8.0
GEN-0389,Ciprofloxacin,R,8.0
GEN-0389,Meropenem,S,0.06
GEN-0390,Ciprofloxacin,R,64.0
GEN-0390,Gentamicin,S,0.25
GEN-0390,Meropenem,S,0.03
GEN-0391,Ceftriaxone,R,64.0
GEN-0391,Ciprofloxacin,R,16.0
GEN-0391,Gentamicin,S,0.25
GEN-0391,Meropenem,S,0.25
GEN-0392,Ceftriaxone,R,32.0
GEN-0392,Ciprofloxacin,R,16.0
GEN-0392,Gentamicin,S,0.06
GEN-0392,Meropenem,S,0.25
GEN-0393,Ceftriaxone,R,64.0
GEN-0393,Ciprofloxacin,R,16.0
GEN-0393,Gentamicin,S,0.12
GEN-0393,Meropenem,R,64.0
GEN-0394,Ceftriaxone,S,0.12
GEN-0394,Ciprofloxacin,R,32.0
GEN-0394,Gentamicin,S,0.12
GEN-0394,Meropenem,S,0.25
GEN-0395,Ceftriaxone,R,32.0
GEN-0395,Ciprofloxacin,R,32.0
GEN-0395,Gentamicin,S,0.12
GEN-0396,Ciprofloxacin,R,64.0
GEN-0396,Gentamicin,S,0.25
GEN-0396,Meropenem,S,0.06
GEN-0397,Ceftriaxone,R,64.0
GEN-0397,Ciprofloxacin,R,64.0
GEN-0397,Gentamicin,S,0.12
GEN-0398,Ceftriaxone,R,16.0
GEN-0398,Ciprofloxacin,R,32.0
GEN-0398,Gentamicin,S,0.25
GEN-0398,Meropenem,S,0.03
GEN-0399,Ceftriaxone,R,64.0
GEN-0399,Ciprofloxacin,R,8.0
GEN-0399,Meropenem,S,0.25
GEN-0400,Ceftriaxone,R,32.0
GEN-0400,Ciprofloxacin,R,64.0
GEN-0400,Gentamicin,S,0.03
GEN-0401,Ceftriaxone,S,0.06
GEN-0401,Ciprofloxacin,S,0.03
GEN-0401,Gentamicin,R,8.0
GEN-0401,Meropenem,S,0.12
GEN-0402,Ciprofloxacin,S,0.06
GEN-0402,Gentamicin,S,0.06
GEN-0403,Ciprofloxacin,S,0.03
GEN-0403,Gentamicin,S,0.12
GEN-0404,Ciprofloxacin,S,0.12
GEN-0404,Gentamicin,S,0.06
GEN-0405,Gentamicin,S,0.12
GEN-0406,Ciprofloxacin,S,0.12
GEN-0406,Gentamicin,S,0.12
GEN-0406,Meropenem,S,0.12
GEN-0407,Ceftriaxone,R,16.0
GEN-0407,Ciprofloxacin,S,0.25
GEN-0407,Gentamicin,S,0.25
GEN-0407,Meropenem,R,32.0
GEN-0408,Ceftriaxone,R,16.0
GEN-0408,Ciprofloxacin,R,8.0
GEN-0408,Gentamicin,S,0.06
GEN-0408,Meropenem,S,0.25
GEN-0409,Ceftriaxone,S,0.25
GEN-0409,Ciprofloxacin,S,0.12
GEN-0409,Gentamicin,S,0.06
GEN-0409,Meropenem,S,0.06
GEN-0410,Ciprofloxacin,S,0.12
GEN-0411,Ceftriaxone,R,8.0
GEN-0411,Ciprofloxacin,S,0.06
GEN-0411,Gentamicin,S,0.06
GEN-0411,Meropenem,S,0.25
GEN-0412,Ciprofloxacin,S,0.03
GEN-0413,Ceftriaxone,R,16.0
GEN-0413,Ciprofloxacin,S,0.12
GEN-0413,Gentamicin,S,0.12
GEN-0413,Meropenem,S,0.03
GEN-0414,Ceftriaxone,R,32.0
GEN-0414,Ciprofloxacin,S,0.03
GEN-0414,Gentamicin,S,0.03
GEN-0414,Meropenem,S,0.03
GEN-0415,Ceftriaxone,R,64.0
GEN-0415,Gentamicin,S,0.12
GEN-0416,Ceftriaxone,S,0.06
GEN-0416,Ciprofloxacin,S,0.12
GEN-0416,Gentamicin,S,0.06
GEN-0417,Ceftriaxone,S,0.03
GEN-0417,Gentamicin,S,0.12
GEN-0417,Meropenem,R,64.0
GEN-0418,Ceftriaxone,S,0.06
GEN-0418,Ciprofloxacin,S,0.03
GEN-0418,Gentamicin,S,0.12
GEN-0418,Meropenem,R,64.0
GEN-0419,Ceftriaxone,S,0.25
GEN-0419,Ciprofloxacin,R,64.0
GEN-0419,Meropenem,S,0.12
GEN-0420,Ceftriaxone,S,0.03
GEN-0420,Ciprofloxacin,S,0.03
GEN-0420,Gentamicin,S,0.03
GEN-0420,Meropenem,S,0.12
GEN-0421,Ciprofloxacin,S,0.03
GEN-0421,Gentamicin,S,0.25
GEN-0421,Meropenem,S,0.12
GEN-0422,Ceftriaxone,S,0.25
GEN-0422,Ciprofloxacin,R,64.0
GEN-0422,Meropenem,R,16.0
GEN-0423,Ceftriaxone,R,64.0
GEN-0423,Gentamicin,S,0.06
GEN-0423,Meropenem,S,0.06
GEN-0424,Ceftriaxone,S,0.03
GEN-0424,Ciprofloxacin,R,32.0
GEN-0424,Gentamicin,S,0.06
GEN-0425,Ceftriaxone,S,0.25
GEN-0425,Ciprofloxacin,R,8.0
GEN-0425,Gentamicin,R,32.0
GEN-0425,Meropenem,S,0.25
GEN-0426,Ceftriaxone,S,0.25
GEN-0426,Gentamicin,S,0.06
GEN-0426,Meropenem,S,0.06
GEN-0427,Ceftriaxone,S,0.06
GEN-0427,Ciprofloxacin,R,64.0
GEN-0427,Gentamicin,S,0.03
GEN-0427,Meropenem,S,0.25
GEN-0428,Ceftriaxone,S,0.06
GEN-0428,Ciprofloxacin,R,16.0
GEN-0428,Gentamicin,S,0.12
GEN-0428,Meropenem,S,0.06
GEN-0429,Ciprofloxacin,R,8.0
GEN-0429,Gentamicin,S,0.03
GEN-0430,Ceftriaxone,R,32.0
GEN-0430,Ciprofloxacin,R,64.0
GEN-0430,Gentamicin,S,0.25
GEN-0430,Meropenem,S,0.25
